!CSV A.01.01
!Keysight Technologies,N5242B,MY58422168,A.13.50.09
!Date: Friday, July 09, 2021 19:34:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd11(DB),Sdd11(DEG),Sdd12(DB),Sdd12(DEG),Sdc11(DB),Sdc11(DEG),Sdc12(DB),Sdc12(DEG),Sdd21(DB),Sdd21(DEG),Sdd22(DB),Sdd22(DEG),Sdc21(DB),Sdc21(DEG),Sdc22(DB),Sdc22(DEG),Scd11(DB),Scd11(DEG),Scd12(DB),Scd12(DEG),Scc11(DB),Scc11(DEG),Scc12(DB),Scc12(DEG),Scd21(DB),Scd21(DEG),Scd22(DB),Scd22(DEG),Scc21(DB),Scc21(DEG),Scc22(DB),Scc22(DEG)
170000000,-13.610651,-67.712738,-53.874611,-98.731621,-57.056656,3.8131034,-57.871437,61.609138,23.331373,170.09619,-3.895015,-175.52921,-28.084517,-143.04294,-33.258701,115.95996,-23.023287,-24.319201,-37.008987,-147.98285,-1.3504982,-3.4032533,-37.226154,22.601929,-1.0161686,-54.511196,-13.033942,-170.14871,-23.61138,-156.05115,-8.1487789,175.17813
175000000,-13.601189,-68.38192,-51.665573,-58.521347,-57.212109,-19.4478,-54.349571,93.60804,23.331093,170.42358,-3.8979149,-176.0546,-28.901543,-112.12269,-33.971603,115.63468,-22.863894,-21.237516,-36.326084,-148.06119,-1.333577,-3.2475944,-36.327644,29.788948,-0.43201137,-50.654751,-12.708733,-169.1377,-26.294035,-164.46391,-8.0900602,172.05705
180000000,-13.71291,-69.302109,-56.923981,-45.022053,-57.160641,16.449253,-65.543442,98.790161,23.324408,170.63913,-4.0005193,-176.67174,-28.5648,-129.52013,-34.290169,108.59727,-22.099663,-24.331905,-36.605721,-151.26511,-1.3318676,-3.1798301,-36.419792,28.712231,0.036825243,-53.798237,-12.333784,-171.19438,-30.376251,-146.33595,-8.4270086,170.8008
185000000,-13.736259,-70.565605,-56.584206,-64.790611,-63.588017,-15.033455,-61.190296,84.050278,23.321293,170.98953,-4.0256767,-177.2056,-26.26722,-122.6813,-34.570248,103.62707,-21.940434,-25.2519,-35.773819,-151.76434,-1.3263912,-3.2055385,-35.74506,32.842251,0.34975055,-54.136375,-12.019911,-171.26051,-36.344872,-129.25116,-8.5605478,169.05072
190000000,-13.78476,-71.098961,-56.92038,-20.028261,-62.760647,-0.61682624,-63.370438,59.774982,23.314335,171.1414,-4.0675049,-177.7204,-25.213076,-117.51565,-33.969604,108.90446,-21.456078,-30.41539,-35.425285,-151.23247,-1.3125898,-3.2520423,-34.985489,30.846527,0.87986541,-59.269745,-11.467054,-174.61244,-32.253136,-62.615303,-8.9290648,168.84813
195000000,-13.78395,-72.180992,-59.162678,-23.732746,-61.381001,-70.732826,-58.285213,64.352074,23.316055,171.39963,-4.0899391,-178.31021,-26.279423,-130.06737,-34.128941,104.6189,-21.967505,-33.615238,-35.174183,-159.05579,-1.3029349,-3.1928468,-35.279922,29.926813,0.66626644,-63.04425,-11.394534,-177.0011,-27.684166,-55.178112,-8.9268837,168.64043
200000000,-13.826703,-72.822853,-57.553463,39.032585,-61.250004,-34.248795,-64.089821,64.988907,23.309328,171.63261,-4.1140366,-178.73611,-23.902248,-134.73586,-33.122601,99.907501,-22.138929,-33.533298,-35.686378,-161.22064,-1.2965136,-3.2828276,-35.472984,29.618364,0.28959483,-63.31324,-11.766001,-179.93701,-25.240116,-59.586788,-8.709713,168.74683
205000000,-13.822337,-74.226608,-61.679516,8.8999929,-61.698956,-18.671255,-58.109928,45.606937,23.321432,171.94502,-4.1600871,-179.31549,-27.058697,-118.83972,-33.43782,101.06742,-21.609177,-35.36203,-34.841492,-160.98146,-1.3014967,-3.2325149,-35.095558,33.918442,0.89903474,-64.875854,-11.388975,-179.03319,-23.983587,-43.807758,-8.8187981,166.89882
210000000,-13.896187,-75.545929,-57.368595,0.15872115,-57.757767,14.516283,-59.087822,66.135246,23.344011,172.04169,-4.1473703,-179.97704,-31.399555,-130.65857,-32.704926,98.454155,-21.966045,-40.969902,-34.910744,-161.19495,-1.2863044,-3.1783519,-34.508831,33.664021,0.7756983,-69.490334,-11.171303,-179.02272,-23.245911,-40.838566,-8.838048,164.64449
215000000,-13.86877,-76.00209,-59.835331,5.6343565,-56.329552,-73.98278,-57.865337,113.48541,23.318064,172.2281,-4.2194109,179.29858,-26.452435,-138.31166,-33.242931,94.005547,-22.181175,-39.707088,-34.449596,-165.0162,-1.2777715,-3.233398,-34.530346,32.290115,0.52908063,-69.997459,-10.743067,176.04533,-20.32872,-38.913609,-9.196517,165.60562
